표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7065680001","065680","우주일렉트로닉스","우주일렉트로","UJU ELECTRONICS CO., LTD","2004/01/02","KOSDAQ","주권","우량기업부","보통주","500","9934220"
"KR7018620005","018620","우진비앤지","우진비앤지","WooGene B&G CO., Ltd","2008/05/20","KOSDAQ","주권","중견기업부","보통주","500","27593398"
"KR7053080008","053080","원방테크","원방테크","WONBANG TECH CO., LTD.","2020/09/24","KOSDAQ","주권","중견기업부","보통주","500","4294143"
"KR7032940009","032940","원익","원익","WonIk","1997/07/18","KOSDAQ","주권","중견기업부","보통주","500","18193230"
"KR7104830005","104830","원익머트리얼즈","원익머트리얼즈","WONIK Materials Co., Ltd.","2011/12/28","KOSDAQ","주권","우량기업부","보통주","500","12608000"
"KR7240810002","240810","원익아이피에스","원익IPS","WONIK IPS Co.,Ltd.","2016/05/02","KOSDAQ","주권","우량기업부","보통주","500","49083901"
"KR7014190003","014190","원익큐브","원익큐브","WONIK CUBE Corp.","1996/04/26","KOSDAQ","주권","중견기업부","보통주","500","35399906"
"KR7074600008","074600","원익큐엔씨","원익QnC","WONIK QnC CORPORATION","2003/12/12","KOSDAQ","주권","우량기업부","보통주","500","26288000"
"KR7030530000","030530","원익홀딩스","원익홀딩스","WONIK HOLDINGS CO.,LTD.","1996/09/24","KOSDAQ","주권","우량기업부","보통주","500","77237981"
"KR7012620001","012620","원일특강","원일특강","WonilSpecialSteel","1994/06/28","KOSDAQ","주권","우량기업부","보통주","500","4400000"
"KR7008370009","008370","원풍","원풍","WonpoongCorporation","1992/12/18","KOSDAQ","주권","중견기업부","보통주","500","12000000"
"KR7008290009","008290","원풍물산","원풍물산","WonpungMulsan","1997/07/18","KOSDAQ","주권","중견기업부","보통주","500","40693679"
"KR7101160000","101160","월덱스","월덱스","WORLDEX INDUSTRY & TRADING CO., LTD","2008/06/19","KOSDAQ","주권","우량기업부","보통주","500","16510993"
"KR7095270005","095270","웨이브일렉트로닉스","웨이브일렉트로","Wave Electronics Co., Ltd.","2007/09/12","KOSDAQ","주권","벤처기업부","보통주","500","14707614"
"KR7065950008","065950","웰크론","웰크론","Welcron Company Limited","2003/07/29","KOSDAQ","주권","중견기업부","보통주","500","28231302"
"KR7076080001","076080","웰크론한텍","웰크론한텍","WELCRON HANTEC CO.,LTD.","2008/07/18","KOSDAQ","주권","중견기업부","보통주","500","19980102"
"KR7196700009","196700","웹스","웹스","WAPS Co., Ltd.","2015/08/24","KOSDAQ","주권","벤처기업부","보통주","500","13698476"
"KR7069080000","069080","웹젠","웹젠","Webzen Inc.","2003/05/23","KOSDAQ","주권","우량기업부","보통주","500","35310884"
"KR7053580007","053580","웹케시","웹케시","WebCash Corporation","2019/01/25","KOSDAQ","주권","우량기업부","보통주","500","6763655"
"KR7071460000","071460","위니아딤채","위니아딤채","WINIADIMCHAE Co.,Ltd.","2016/07/14","KOSDAQ","주권","중견기업부","보통주","500","35967295"
"KR7044340008","044340","위닉스","위닉스","WINIX INC.","2000/10/24","KOSDAQ","주권","우량기업부","보통주","500","17873425"
"KR7330350000","330350","위더스제약","위더스제약","Withus Pharmaceutical. Co., LTD","2020/07/03","KOSDAQ","주권","중견기업부","보통주","200","8792415"
